block,trial,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,*
-1,1,Trigger,0,0,9,~Waiting for Scanner to Trigger experiment,"0,0,1",rt:5,*
-1,1,Ff2,0,0,9,~Acquisition...vetrovkau2.wav,"0,0,0",2066,!Female/feminine/vetrovkau2.wav,"0,0,0",rt:5,*
-1,2,Fm2,0,0,9,~Acquisition...roditelyem2.wav,"0,0,0",2154,!Female/feminine/roditelyem2.wav,"0,0,0",rt:5,*
-1,3,Fm2,0,0,9,~Acquisition...sozdatelya2.wav,"0,0,0",2140,!Female/masculine/sozdatelya2.wav,"0,0,0",rt:5,*
-1,4,Mf1,0,0,9,~Acquisition...sluzhboy2.wav,"0,0,0",2171,!Male/feminine/sluzhboy2.wav,"0,0,0",rt:5,*
-1,5,Mf2,0,0,9,~Acquisition...pogremushkoj2.wav,"0,0,0",2017,!Male/feminine/pogremushkoj2.wav,"0,0,0",rt:5,*
-1,6,Mf1,0,0,9,~Acquisition...Vdovoy2.wav,"0,0,0",2031,!Male/feminine/Vdovoy2.wav,"0,0,0",rt:5,*
-1,7,Ff1,0,0,9,~Acquisition...krazhau2.wav,"0,0,0",2115,!Female/feminine/krazhau2.wav,"0,0,0",rt:5,*
-1,8,Ff2,0,0,9,~Acquisition...brujunetkaoj2.wav,"0,0,0",2077,!Female/feminine/brujunetkaoj2.wav,"0,0,0",rt:5,*
-1,9,Mf2,0,0,9,~Acquisition...khlopushku2.wav,"0,0,0",2149,!Male/feminine/khlopushku2.wav,"0,0,0",rt:5,*
-1,10,Mm1,0,0,9,~Acquisition...ijulyem2.wav,"0,0,0",2073,!Male/masculine/ijulyem2.wav,"0,0,0",rt:5,*
-1,11,Ff2,0,0,9,~Acquisition...brujunetkau2.wav,"0,0,0",2161,!Female/feminine/brujunetkau2.wav,"0,0,0",rt:5,*
-1,12,Mm1,0,0,9,~Acquisition...ijunyem2.wav,"0,0,0",2116,!Male/masculine/ijunyem2.wav,"0,0,0",rt:5,*
-1,13,Ff1,0,0,9,~Acquisition...monetau2.wav,"0,0,0",2180,!Female/feminine/monetau2.wav,"0,0,0",rt:5,*
-1,14,Mm1,0,0,9,~Acquisition...glukharya2.wav,"0,0,0",2119,!Male/masculine/glukharya2.wav,"0,0,0",rt:5,*
-1,15,Mf2,0,0,9,~Acquisition...babushku2.wav,"0,0,0",2156,!Male/feminine/babushku2.wav,"0,0,0",rt:5,*
-1,16,Mf1,0,0,9,~Acquisition...koritsoy2.wav,"0,0,0",2003,!Male/feminine/koritsoy2.wav,"0,0,0",rt:5,*
-1,17,Mf1,0,0,9,~Acquisition...prodavchitsoj2.wav,"0,0,0",2189,!Male/feminine/prodavchitsoj2.wav,"0,0,0",rt:5,*
-1,18,Mm1,0,0,9,~Acquisition...bezdaryem2.wav,"0,0,0",2161,!Male/masculine/bezdaryem2.wav,"0,0,0",rt:5,*
-1,19,Fm2,0,0,9,~Acquisition...muchitelyem2.wav,"0,0,0",2018,!Female/feminine/muchitelyem2.wav,"0,0,0",rt:5,*
-1,20,Fm1,0,0,9,~Acquisition...blondinkayem2.wav,"0,0,0",2088,!Female/masculine/blondinkayem2.wav,"0,0,0",rt:5,*
-1,21,Mm1,0,0,9,~Acquisition...zverya2.wav,"0,0,0",2048,!Male/masculine/zverya2.wav,"0,0,0",rt:5,*
-1,22,Ff1,0,0,9,~Acquisition...pogodau2.wav,"0,0,0",2039,!Female/feminine/pogodau2.wav,"0,0,0",rt:5,*
-1,23,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,24,Ff2,0,0,9,~Acquisition...konfetkaoj2.wav,"0,0,0",2023,!Female/feminine/konfetkaoj2.wav,"0,0,0",rt:5,*
-1,25,Fm1,0,0,9,~Acquisition...shampunya2.wav,"0,0,0",2187,!Female/masculine/shampunya2.wav,"0,0,0",rt:5,*
-1,26,Fm1,0,0,9,~Acquisition...kamenya2.wav,"0,0,0",2074,!Female/masculine/kamenya2.wav,"0,0,0",rt:5,*
-1,27,Ff2,0,0,9,~Acquisition...rubashkaoj2.wav,"0,0,0",2002,!Female/feminine/rubashkaoj2.wav,"0,0,0",rt:5,*
-1,28,Ff2,0,0,9,~Acquisition...vorovkau2.wav,"0,0,0",2182,!Female/feminine/vorovkau2.wav,"0,0,0",rt:5,*
-1,29,Mf2,0,0,9,~Acquisition...podushkoj2.wav,"0,0,0",2040,!Male/feminine/podushkoj2.wav,"0,0,0",rt:5,*
-1,30,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,31,Mf2,0,0,9,~Acquisition...zazhigalku2.wav,"0,0,0",2190,!Male/feminine/zazhigalku2.wav,"0,0,0",rt:5,*
-1,32,Mf2,0,0,9,~Acquisition...pohodkoj2.wav,"0,0,0",2113,!Male/feminine/pohodkoj2.wav,"0,0,0",rt:5,*
-1,33,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,34,Mm1,0,0,9,~Acquisition...fonaryem2.wav,"0,0,0",2005,!Male/masculine/fonaryem2.wav,"0,0,0",rt:5,*
-1,35,Fm1,0,0,9,~Acquisition...voplya2.wav,"0,0,0",2044,!Female/feminine/voplya2.wav,"0,0,0",rt:5,*
-1,36,Fm2,0,0,9,~Acquisition...sluzhitelya2.wav,"0,0,0",2164,!Female/masculine/sluzhitelya2.wav,"0,0,0",rt:5,*
-1,37,Mm1,0,0,9,~Acquisition...janvarya2.wav,"0,0,0",2068,!Male/masculine/janvarya2.wav,"0,0,0",rt:5,*
-1,38,Mf2,0,0,9,~Acquisition...jubochku2.wav,"0,0,0",2041,!Male/feminine/jubochku2.wav,"0,0,0",rt:5,*
-1,39,Mm2,0,0,9,~Acquisition...razrushitelyem2.wav,"0,0,0",2178,!Male/masculine/razrushitelyem2.wav,"0,0,0",rt:5,*
-1,40,Fm1,0,0,9,~Acquisition...korablya2.wav,"0,0,0",2041,!Female/masculine/korablya2.wav,"0,0,0",rt:5,*
-1,41,Fm1,0,0,9,~Acquisition...korablyem2.wav,"0,0,0",2198,!Female/feminine/korablyem2.wav,"0,0,0",rt:5,*
-1,42,Ff1,0,0,9,~Acquisition...gazetaoj2.wav,"0,0,0",2149,!Female/feminine/gazetaoj2.wav,"0,0,0",rt:5,*
-1,43,Fm2,0,0,9,~Acquisition...muchitelya2.wav,"0,0,0",2070,!Female/feminine/muchitelya2.wav,"0,0,0",rt:5,*
-1,44,Mf1,0,0,9,~Acquisition...kolesnitsu2.wav,"0,0,0",2087,!Male/feminine/kolesnitsu2.wav,"0,0,0",rt:5,*
-1,45,Mf1,0,0,9,~Acquisition...luzhitsu2.wav,"0,0,0",2091,!Male/feminine/luzhitsu2.wav,"0,0,0",rt:5,*
-1,46,Ff1,0,0,9,~Acquisition...komnataoj2.wav,"0,0,0",2151,!Female/feminine/komnataoj2.wav,"0,0,0",rt:5,*
-1,47,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,48,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,49,Fm2,0,0,9,~Acquisition...sozdatelyem2.wav,"0,0,0",2129,!Female/masculine/sozdatelyem2.wav,"0,0,0",rt:5,*
-1,50,Ff1,0,0,9,~Acquisition...kozhaoj2.wav,"0,0,0",2093,!Female/feminine/kozhaoj2.wav,"0,0,0",rt:5,*
-1,51,Fm2,0,0,9,~Acquisition...voditelyem2.wav,"0,0,0",2143,!Female/masculine/voditelyem2.wav,"0,0,0",rt:5,*
-1,52,Fm2,0,0,9,~Acquisition...smotritelya2.wav,"0,0,0",2154,!Female/masculine/smotritelya2.wav,"0,0,0",rt:5,*
-1,53,Mm2,0,0,9,~Acquisition...obvinitelya2.wav,"0,0,0",2062,!Male/masculine/obvinitelya2.wav,"0,0,0",rt:5,*
-1,54,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,55,Mm2,0,0,9,~Acquisition...sozidatelya2.wav,"0,0,0",2030,!Male/masculine/sozidatelya2.wav,"0,0,0",rt:5,*
-1,56,Mm1,0,0,9,~Acquisition...gosudarya2.wav,"0,0,0",2108,!Male/masculine/gosudarya2.wav,"0,0,0",rt:5,*
-1,57,Ff2,0,0,9,~Acquisition...tarelkau2.wav,"0,0,0",2166,!Female/feminine/tarelkau2.wav,"0,0,0",rt:5,*
-1,58,Fm1,0,0,9,~Acquisition...yantarya2.wav,"0,0,0",2086,!Female/feminine/yantarya2.wav,"0,0,0",rt:5,*
-1,59,Ff2,0,0,9,~Acquisition...rozochkau2.wav,"0,0,0",2194,!Female/feminine/rozochkau2.wav,"0,0,0",rt:5,*
-1,60,Ff1,0,0,9,~Acquisition...gazetau2.wav,"0,0,0",2149,!Female/feminine/gazetau2.wav,"0,0,0",rt:5,*
-1,61,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,62,Mm1,0,0,9,~Acquisition...slesarya2.wav,"0,0,0",2085,!Male/masculine/slesarya2.wav,"0,0,0",rt:5,*
-1,63,Fm2,0,0,9,~Acquisition...spasitelyem2.wav,"0,0,0",2149,!Female/masculine/spasitelyem2.wav,"0,0,0",rt:5,*
-1,64,Mf2,0,0,9,~Acquisition...devochku2.wav,"0,0,0",2112,!Male/feminine/devochku2.wav,"0,0,0",rt:5,*
-1,65,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,66,Mm2,0,0,9,~Acquisition...dejatelya2.wav,"0,0,0",2064,!Male/masculine/dejatelya2.wav,"0,0,0",rt:5,*
-1,67,Ff1,0,0,9,~Acquisition...komnatau2.wav,"0,0,0",2085,!Female/feminine/komnatau2.wav,"0,0,0",rt:5,*
-1,68,Mf2,0,0,9,~Acquisition...rodinkoj2.wav,"0,0,0",2021,!Male/feminine/rodinkoj2.wav,"0,0,0",rt:5,*
-1,69,Mf1,0,0,9,~Acquisition...lestnitsu2.wav,"0,0,0",2004,!Male/feminine/lestnitsu2.wav,"0,0,0",rt:5,*
-1,70,Mm2,0,0,9,~Acquisition...obyvatelyem2.wav,"0,0,0",2029,!Male/masculine/obyvatelyem2.wav,"0,0,0",rt:5,*
-1,71,Mf2,0,0,9,~Acquisition...makushku2.wav,"0,0,0",2016,!Male/feminine/makushku2.wav,"0,0,0",rt:5,*
-1,72,Fm2,0,0,9,~Acquisition...voditelya2.wav,"0,0,0",2146,!Female/masculine/voditelya2.wav,"0,0,0",rt:5,*
-1,73,Fm1,0,0,9,~Acquisition...binoklya2.wav,"0,0,0",2139,!Female/feminine/binoklya2.wav,"0,0,0",rt:5,*
-1,74,Mm1,0,0,9,~Acquisition...aprelyem2.wav,"0,0,0",2123,!Male/masculine/aprelyem2.wav,"0,0,0",rt:5,*
-1,75,Mf2,0,0,9,~Acquisition...podushku2.wav,"0,0,0",2112,!Male/feminine/podushku2.wav,"0,0,0",rt:5,*
-1,76,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,77,Mf2,0,0,9,~Acquisition...obertku2.wav,"0,0,0",2132,!Male/feminine/obertku2.wav,"0,0,0",rt:5,*
-1,78,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,79,Mf1,0,0,9,~Acquisition...bolnitsoy2.wav,"0,0,0",2029,!Male/feminine/bolnitsoy2.wav,"0,0,0",rt:5,*
-1,80,Mf1,0,0,9,~Acquisition...raznitsoy2.wav,"0,0,0",2033,!Male/feminine/raznitsoy2.wav,"0,0,0",rt:5,*
-1,81,Mm2,0,0,9,~Acquisition...rastochitelyem2.wav,"0,0,0",2148,!Male/masculine/rastochitelyem2.wav,"0,0,0",rt:5,*
-1,82,Mm2,0,0,9,~Acquisition...dushitelyem2.wav,"0,0,0",2002,!Male/masculine/dushitelyem2.wav,"0,0,0",rt:5,*
-1,83,Fm2,0,0,9,~Acquisition...uchitelyem2.wav,"0,0,0",2103,!Female/masculine/uchitelyem2.wav,"0,0,0",rt:5,*
-1,84,Mf1,0,0,9,~Acquisition...vysotoy2.wav,"0,0,0",2012,!Male/feminine/vysotoy2.wav,"0,0,0",rt:5,*
-1,85,Mm1,0,0,9,~Acquisition...glukharyem2.wav,"0,0,0",2011,!Male/masculine/glukharyem2.wav,"0,0,0",rt:5,*
-1,86,Fm2,0,0,9,~Acquisition...spasitelya2.wav,"0,0,0",2082,!Female/masculine/spasitelya2.wav,"0,0,0",rt:5,*
-1,87,Mm2,0,0,9,~Acquisition...grabitelya2.wav,"0,0,0",2095,!Male/masculine/grabitelya2.wav,"0,0,0",rt:5,*
-1,88,Mm2,0,0,9,~Acquisition...pisatelyem2.wav,"0,0,0",2093,!Male/masculine/pisatelyem2.wav,"0,0,0",rt:5,*
-1,89,Mm2,0,0,9,~Acquisition...dushitelya2.wav,"0,0,0",2095,!Male/masculine/dushitelya2.wav,"0,0,0",rt:5,*
-1,90,Ff2,0,0,9,~Acquisition...skovorodkaoj2.wav,"0,0,0",2061,!Female/feminine/skovorodkaoj2.wav,"0,0,0",rt:5,*
-1,91,Mm2,0,0,9,~Acquisition...tselitelyem2.wav,"0,0,0",2087,!Male/masculine/tselitelyem2.wav,"0,0,0",rt:5,*
-1,92,Mf2,0,0,9,~Acquisition...verjovkoj2.wav,"0,0,0",2157,!Male/feminine/verjovkoj2.wav,"0,0,0",rt:5,*
-1,93,Mm1,0,0,9,~Acquisition...ijulya2.wav,"0,0,0",2153,!Male/masculine/ijulya2.wav,"0,0,0",rt:5,*
-1,94,Fm1,0,0,9,~Acquisition...bynoklyem2.wav,"0,0,0",2019,!Female/feminine/bynoklyem2.wav,"0,0,0",rt:5,*
-1,95,Mm2,0,0,9,~Acquisition...vikljuchatelya2.wav,"0,0,0",2082,!Male/masculine/vikljuchatelya2.wav,"0,0,0",rt:5,*
-1,96,Ff1,0,0,9,~Acquisition...kochergaoj2.wav,"0,0,0",2152,!Female/feminine/kochergaoj2.wav,"0,0,0",rt:5,*
-1,97,Ff2,0,0,9,~Acquisition...rozochkaoj2.wav,"0,0,0",2096,!Female/feminine/rozochkaoj2.wav,"0,0,0",rt:5,*
-1,98,Ff1,0,0,9,~Acquisition...roshchau2.wav,"0,0,0",2130,!Female/feminine/roshchau2.wav,"0,0,0",rt:5,*
-1,99,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,100,Fm2,0,0,9,~Acquisition...osnovatelyem2.wav,"0,0,0",2101,!Female/feminine/osnovatelyem2.wav,"0,0,0",rt:5,*
-1,101,Ff2,0,0,9,~Acquisition...rubashkau2.wav,"0,0,0",2029,!Female/feminine/rubashkau2.wav,"0,0,0",rt:5,*
-1,102,Mm2,0,0,9,~Acquisition...obyvatelya2.wav,"0,0,0",2137,!Male/masculine/obyvatelya2.wav,"0,0,0",rt:5,*
-1,103,Ff2,0,0,9,~Acquisition...vystavkau2.wav,"0,0,0",2179,!Female/feminine/vystavkau2.wav,"0,0,0",rt:5,*
-1,104,Mf1,0,0,9,~Acquisition...voronu2.wav,"0,0,0",2084,!Male/feminine/voronu2.wav,"0,0,0",rt:5,*
-1,105,Ff1,0,0,9,~Acquisition...krasotou2.wav,"0,0,0",2045,!Female/feminine/krasotou2.wav,"0,0,0",rt:5,*
-1,106,Ff2,0,0,9,~Acquisition...progulkau2.wav,"0,0,0",2016,!Female/feminine/progulkau2.wav,"0,0,0",rt:5,*
-1,107,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,108,Ff2,0,0,9,~Acquisition...vorovkaoj2.wav,"0,0,0",2090,!Female/feminine/vorovkaoj2.wav,"0,0,0",rt:5,*
-1,109,Mf1,0,0,9,~Acquisition...vysotu2.wav,"0,0,0",2001,!Male/feminine/vysotu2.wav,"0,0,0",rt:5,*
-1,110,Ff2,0,0,9,~Acquisition...konfetkau2.wav,"0,0,0",2028,!Female/feminine/konfetkau2.wav,"0,0,0",rt:5,*
-1,111,Mf2,0,0,9,~Acquisition...pogremushku2.wav,"0,0,0",2141,!Male/feminine/pogremushku2.wav,"0,0,0",rt:5,*
-1,112,Mm1,0,0,9,~Acquisition...fonarya2.wav,"0,0,0",2055,!Male/masculine/fonarya2.wav,"0,0,0",rt:5,*
-1,113,Mf2,0,0,9,~Acquisition...vetochkoy2.wav,"0,0,0",2144,!Male/feminine/vetochkoy2.wav,"0,0,0",rt:5,*
-1,114,Mm1,0,0,9,~Acquisition...tsaryem2.wav,"0,0,0",2140,!Male/masculine/tsaryem2.wav,"0,0,0",rt:5,*
-1,115,Mm2,0,0,9,~Acquisition...potrebitelyem2.wav,"0,0,0",2014,!Male/masculine/potrebitelyem2.wav,"0,0,0",rt:5,*
-1,116,Fm1,0,0,9,~Acquisition...penyem2.wav,"0,0,0",2087,!Female/masculine/penyem2.wav,"0,0,0",rt:5,*
-1,117,Fm1,0,0,9,~Acquisition...ognyem2.wav,"0,0,0",2138,!Female/masculine/ognyem2.wav,"0,0,0",rt:5,*
-1,118,Ff1,0,0,9,~Acquisition...tysjachaoj2.wav,"0,0,0",2143,!Female/feminine/tysjachaoj2.wav,"0,0,0",rt:5,*
-1,119,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,120,Mf1,0,0,9,~Acquisition...rabotnitsoj2.wav,"0,0,0",2174,!Male/feminine/rabotnitsoj2.wav,"0,0,0",rt:5,*
-1,121,Ff1,0,0,9,~Acquisition...stranistsaoj2.wav,"0,0,0",2096,!Female/feminine/stranistsaoj2.wav,"0,0,0",rt:5,*
-1,122,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,123,Fm2,0,0,9,~Acquisition...predatelyem2.wav,"0,0,0",2088,!Female/feminine/predatelyem2.wav,"0,0,0",rt:5,*
-1,124,Fm1,0,0,9,~Acquisition...vratarya2.wav,"0,0,0",2063,!Female/feminine/vratarya2.wav,"0,0,0",rt:5,*
-1,125,Mf1,0,0,9,~Acquisition...uchenitsoj2.wav,"0,0,0",2050,!Male/feminine/uchenitsoj2.wav,"0,0,0",rt:5,*
-1,126,Ff1,0,0,9,~Acquisition...dorogau2.wav,"0,0,0",2030,!Female/feminine/dorogau2.wav,"0,0,0",rt:5,*
-1,127,Fm1,0,0,9,~Acquisition...olenya2.wav,"0,0,0",2145,!Female/masculine/olenya2.wav,"0,0,0",rt:5,*
-1,128,Mm1,0,0,9,~Acquisition...tjulyem2.wav,"0,0,0",2139,!Male/masculine/tjulyem2.wav,"0,0,0",rt:5,*
-1,129,Fm1,0,0,9,~Acquisition...konya2.wav,"0,0,0",2088,!Female/masculine/konya2.wav,"0,0,0",rt:5,*
-1,130,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,131,Fm1,0,0,9,~Acquisition...ogonya2.wav,"0,0,0",2084,!Female/masculine/ogonya2.wav,"0,0,0",rt:5,*
-1,132,Mf1,0,0,9,~Acquisition...zabavoy2.wav,"0,0,0",2175,!Male/feminine/zabavoy2.wav,"0,0,0",rt:5,*
-1,133,Mm2,0,0,9,~Acquisition...grabitelyem2.wav,"0,0,0",2095,!Male/masculine/grabitelyem2.wav,"0,0,0",rt:5,*
-1,134,Ff1,0,0,9,~Acquisition...kozhau2.wav,"0,0,0",2108,!Female/feminine/kozhau2.wav,"0,0,0",rt:5,*
-1,135,Fm2,0,0,9,~Acquisition...dvigatelyem2.wav,"0,0,0",2034,!Female/masculine/dvigatelyem2.wav,"0,0,0",rt:5,*